dataset,portfolio,model,alpha,seed,test_loss,coverage_rate,coverage_error,avg_exceedance_loss,mean_var,mean_es,uc_stat,uc_p_value,cc_stat,cc_p_value,n_train,n_val,n_test,n_total,date_start,date_end,var_perm_mean_drift,var_perm_max_drift,es_perm_mean_drift,es_perm_max_drift,n_perm,run_dir
industry12,equal_weight,set_attention,0.01,1024.0,0.00033537794903032745,0.011977573904179408,0.0019775739041794083,0.005907202139496803,-0.023748159408569336,-0.028969787061214447,2.9158044283792606,0.08771566282260401,3.4822519840824953,0.175322877268554,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,7.951569958031257e-10,5.960464477539063e-08,1.0941485495408187e-09,5.960464477539063e-08,100.0,artifacts\industry12__equal_weight__set_attention__alpha_0.01__seed_1024
industry12,equal_weight,set_attention,0.01,123.0,0.00033131312712657697,0.008792048929663608,0.0012079510703363917,0.006326451897621155,-0.02518153190612793,-0.031006166711449623,1.205813473902026,0.272162840475065,14.089784718786063,0.0008718507042874135,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,7.765068033016576e-10,4.470348358154297e-08,1.0966489938368795e-09,4.470348358154297e-08,100.0,artifacts\industry12__equal_weight__set_attention__alpha_0.01__seed_123
industry12,equal_weight,set_attention,0.01,42.0,0.00031390583951255947,0.011595310907237514,0.0015953109072375134,0.0054826498962938786,-0.022748755291104317,-0.027603192254900932,1.9190416978584608,0.16596234147654432,6.885434940937898,0.031977668778386814,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,8.184685151846338e-10,4.470348358154297e-08,1.213909195385554e-09,4.470348358154297e-08,100.0,artifacts\industry12__equal_weight__set_attention__alpha_0.01__seed_42
industry12,equal_weight,set_attention,0.01,456.0,0.0003235891828834194,0.010958205912334353,0.0009582059123343523,0.0054896557703614235,-0.023482177406549454,-0.028230583295226097,0.70587957416069,0.40081509646561464,9.672786210630534,0.00793562545887716,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,8.005279772405061e-10,2.9802322387695312e-08,1.0800054184301189e-09,2.9802322387695312e-08,100.0,artifacts\industry12__equal_weight__set_attention__alpha_0.01__seed_456
industry12,equal_weight,set_attention,0.01,789.0,0.00034732136017525197,0.010193679918450561,0.00019367991845056082,0.006020315457135439,-0.02571026049554348,-0.03388441354036331,0.02954849322532027,0.8635187003884535,3.597682012714131,0.16549057964533254,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,8.326816458570363e-10,4.470348358154297e-08,1.3030778678313482e-09,5.960464477539063e-08,100.0,artifacts\industry12__equal_weight__set_attention__alpha_0.01__seed_789
industry12,equal_weight,set_attention,0.05,1024.0,0.0009503226941328013,0.04854740061162079,0.0014525993883792096,0.005184231325984001,-0.013004099018871784,-0.01784619502723217,0.3518696608934988,0.5530566638040326,0.7112068304163586,0.700750472115798,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,4.945892029262211e-10,1.4901161193847656e-08,8.142818641587724e-10,2.9802322387695312e-08,100.0,artifacts\industry12__equal_weight__set_attention__alpha_0.05__seed_1024
industry12,equal_weight,set_attention,0.05,123.0,0.0009454660919598407,0.052752293577981654,0.0027522935779816515,0.004602876957505941,-0.0131298266351223,-0.017568381503224373,1.2303947843352034,0.26733027565950496,4.307206968329865,0.11606516432700864,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,5.058720664585792e-10,2.2351741790771484e-08,8.33794644439223e-10,1.4901161193847656e-08,100.0,artifacts\industry12__equal_weight__set_attention__alpha_0.05__seed_123
industry12,equal_weight,set_attention,0.05,42.0,0.0009696793647660522,0.05389908256880734,0.0038990825688073397,0.005202850326895714,-0.012832402251660824,-0.017664268612861633,2.452285523179853,0.11735388524352675,6.9925928530656165,0.030309429006794564,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,4.933857766786787e-10,1.4901161193847656e-08,8.400347639714312e-10,1.4901161193847656e-08,100.0,artifacts\industry12__equal_weight__set_attention__alpha_0.05__seed_42
industry12,equal_weight,set_attention,0.05,456.0,0.0009317314630814816,0.046381243628950054,0.0036187563710499485,0.004671615082770586,-0.013390302658081055,-0.017683975398540497,2.2149625481624753,0.1366783787558008,3.783310486139726,0.15082195511311103,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,5.028217842095728e-10,1.4901161193847656e-08,7.448762162631795e-10,1.4901161193847656e-08,100.0,artifacts\industry12__equal_weight__set_attention__alpha_0.05__seed_456
industry12,equal_weight,set_attention,0.05,789.0,0.0009876625871316177,0.0732670744138634,0.0232670744138634,0.00472595077008009,-0.011904649436473846,-0.016649166122078896,78.71070080865957,0.0,78.71119700824238,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,4.4532871834590537e-10,2.2351741790771484e-08,7.535976842554248e-10,2.9802322387695312e-08,100.0,artifacts\industry12__equal_weight__set_attention__alpha_0.05__seed_789
industry12,vol_scaled,flatten_mlp,0.01,1024.0,0.0003297447346531331,0.015163098878695208,0.005163098878695208,0.005547318607568741,-0.02192569710314274,-0.02532523311674595,18.246253642504143,1.9410734845459743e-05,78.66193819414207,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.0045600212179124355,0.32002121210098267,0.005813230760395527,0.3196899890899658,100.0,artifacts\industry12__vol_scaled__flatten_mlp__alpha_0.01__seed_1024
industry12,vol_scaled,flatten_mlp,0.01,123.0,0.0003617139528771325,0.028797145769622834,0.018797145769622832,0.005370608530938625,-0.018029971048235893,-0.02072087489068508,185.85527732075525,0.0,243.04872036130405,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.004554480779916048,0.22817325592041016,0.005779541563242674,0.22623050212860107,100.0,artifacts\industry12__vol_scaled__flatten_mlp__alpha_0.01__seed_123
industry12,vol_scaled,flatten_mlp,0.01,42.0,0.0003492999574770936,0.016055045871559634,0.006055045871559634,0.006685208063572645,-0.02108919247984886,-0.024696998298168182,24.557635670266563,7.211998749312443e-07,61.5440409257958,4.318767565791859e-14,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.004077089484781027,0.37200310826301575,0.004995286464691162,0.36879587173461914,100.0,artifacts\industry12__vol_scaled__flatten_mlp__alpha_0.01__seed_42
industry12,vol_scaled,flatten_mlp,0.01,456.0,0.0003591649974410343,0.023572884811416922,0.013572884811416922,0.005775651428848505,-0.018952492624521255,-0.022082490846514702,105.70655129310921,0.0,182.3905568411883,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.005130992271006107,0.30599525570869446,0.005427271127700806,0.3023679852485657,100.0,artifacts\industry12__vol_scaled__flatten_mlp__alpha_0.01__seed_456
